293,State,NY,Single,1077550,0.0685
294,State,NY,Single,0,0.0882
295,State,NY,Joint,17150,0.04
296,State,NY,Joint,23600,0.045
297,State,NY,Joint,27900,0.0525
298,State,NY,Joint,43000,0.059
299,State,NY,Joint,161550,0.0597
300,State,NY,Joint,323200,0.0633
301,State,NY,Joint,2155350,0.0685
302,State,NY,Joint,0,0.0882
303,State,ND,Single,40125,0.011
304,State,ND,Single,97150,0.0204
305,State,ND,Single,202650,0.0227
306,State,ND,Single,440600,0.0264
307,State,ND,Single,0,0.029
308,State,ND,Joint,67050,0.011
309,State,ND,Joint,161950,0.0204
310,State,ND,Joint,246700,0.0227
311,State,ND,Joint,440600,0.0264
312,State,ND,Joint,0,0.029
313,State,OH,Single,22150,0
314,State,OH,Single,44250,0.0285
315,State,OH,Single,88450,0.0333
316,State,OH,Single,110650,0.038
317,State,OH,Single,221300,0.0441
318,State,OH,Single,0,0.048
319,State,OH,Joint,22150,0
320,State,OH,Joint,44250,0.0285
321,State,OH,Joint,88450,0.0333
322,State,OH,Joint,110650,0.038
323,State,OH,Joint,221300,0.0441
324,State,OH,Joint,0,0.048
325,State,OK,Single,1000,0.005
326,State,OK,Single,2500,0.01
327,State,OK,Single,3750,0.02
328,State,OK,Single,4900,0.03
329,State,OK,Single,7200,0.04
330,State,OK,Single,0,0.05
331,State,OK,Joint,2000,0.005
332,State,OK,Joint,5000,0.01
333,State,OK,Joint,7500,0.02
334,State,OK,Joint,9800,0.03
335,State,OK,Joint,12200,0.04
336,State,OK,Joint,0,0.05
337,State,OR,Single,3650,0.0475
338,State,OR,Single,9200,0.0675
339,State,OR,Single,125000,0.0875
340,State,OR,Single,0,0.099
341,State,OR,Joint,7300,0.0475
342,State,OR,Joint,18400,0.0675
343,State,OR,Joint,250000,0.0875
344,State,OR,Joint,0,0.099
345,State,PA,Single,0,0.0525
346,State,PA,Joint,0,0.0307
347,State,RI,Single,66200,0.0375
348,State,RI,Single,150550,0.0475
349,State,RI,Single,0,0.0599
350,State,RI,Joint,66200,0.0375
351,State,RI,Joint,150550,0.0475
352,State,RI,Joint,0,0.0599
353,State,SC,Single,3070,0
354,State,SC,Single,6150,0.03
355,State,SC,Single,9230,0.04
356,State,SC,Single,12310,0.05
357,State,SC,Single,15400,0.06
358,State,SC,Single,0,0.07
359,State,SC,Joint,3070,0
360,State,SC,Joint,6150,0.03
361,State,SC,Joint,9230,0.04
362,State,SC,Joint,12310,0.05
363,State,SC,Joint,15400,0.06
364,State,SC,Joint,0,0.07
365,State,SD,None,0,0
366,State,TN,None,0,0
367,State,TX,None,0,0
368,State,UT,Single,0,0.0495
369,State,UT,Joint,0,0.0495
370,State,VT,Single,40350,0.0335
371,State,VT,Single,97800,0.066
372,State,VT,Single,204000,0.076
373,State,VT,Single,0,0.0875
374,State,VT,Joint,67450,0.0335
375,State,VT,Joint,163000,0.066
376,State,VT,Joint,248350,0.076
377,State,VT,Joint,0,0.0875
378,State,VA,Single,3000,0.0335
379,State,VA,Single,5000,0.066
380,State,VA,Single,17000,0.076
381,State,VA,Single,0,0.0875
382,State,VA,Joint,3000,0.0335
383,State,VA,Joint,5000,0.066
384,State,VA,Joint,17000,0.076
385,State,VA,Joint,0,0.0875
386,State,WA,None,0,0
387,State,WV,Single,10000,0.03
388,State,WV,Single,25000,0.04
389,State,WV,Single,40000,0.045
390,State,WV,Single,60000,0.06
391,State,WV,Single,0,0.065
392,State,WV,Joint,10000,0.03
393,State,WV,Joint,25000,0.04
394,State,WV,Joint,40000,0.045
395,State,WV,Joint,60000,0.06
396,State,WV,Joint,0,0.065
397,State,WI,Single,12120,0.0354
398,State,WI,Single,24250,0.0465
399,State,WI,Single,266930,0.0627
