344,State,Joint,150550,0.0475,RI
345,State,Joint,0,0.0599,RI
346,State,Single,3070,0.0000,SC
347,State,Single,6150,0.0300,SC
348,State,Single,9230,0.0400,SC
349,State,Single,12310,0.0500,SC
350,State,Single,15400,0.0600,SC
351,State,Single,0,0.0700,SC
352,State,Joint,3070,0.0000,SC
353,State,Joint,6150,0.0300,SC
354,State,Joint,9230,0.0400,SC
355,State,Joint,12310,0.0500,SC
356,State,Joint,15400,0.0600,SC
357,State,Joint,0,0.0700,SC
358,State,None,0,0.0000,SD
359,State,None,0,0.0000,TN
360,State,None,0,0.0000,TX
361,State,Single,0,0.0495,UT
362,State,Joint,0,0.0495,UT
363,State,Single,40350,0.0335,VT
364,State,Single,97800,0.0660,VT
365,State,Single,204000,0.0760,VT
366,State,Single,0,0.0875,VT
367,State,Joint,67450,0.0335,VT
368,State,Joint,163000,0.0660,VT
369,State,Joint,248350,0.0760,VT
370,State,Joint,0,0.0875,VT
371,State,Single,3000,0.0335,VA
372,State,Single,5000,0.0660,VA
373,State,Single,17000,0.0760,VA
374,State,Single,0,0.0875,VA
375,State,Joint,3000,0.0335,VA
376,State,Joint,5000,0.0660,VA
377,State,Joint,17000,0.0760,VA
378,State,Joint,0,0.0875,VA
379,State,None,0,0.0000,WA
380,State,Single,10000,0.0300,WV
381,State,Single,25000,0.0400,WV
382,State,Single,40000,0.0450,WV
383,State,Single,60000,0.0600,WV
384,State,Single,0,0.0650,WV
385,State,Joint,10000,0.0300,WV
386,State,Joint,25000,0.0400,WV
387,State,Joint,40000,0.0450,WV
388,State,Joint,60000,0.0600,WV
389,State,Joint,0,0.0650,WV
390,State,Single,12120,0.0354,WI
391,State,Single,24250,0.0465,WI
392,State,Single,266930,0.0627,WI
393,State,Single,0,0.0765,WI
394,State,Joint,16160,0.0354,WI
395,State,Joint,32330,0.0465,WI
396,State,Joint,355910,0.0627,WI
397,State,Joint,0,0.0765,WI
398,State,None,0,0.0000,WY
399,State,Single,10000,0.0400,DC
400,State,Single,40000,0.0600,DC
401,State,Single,60000,0.0650,DC
402,State,Single,350000,0.0850,DC
403,State,Single,1000000,0.0875,DC
404,State,Single,0,0.0895,DC
405,State,Joint,10000,0.0400,DC
406,State,Joint,40000,0.0600,DC
407,State,Joint,60000,0.0650,DC
408,State,Joint,350000,0.0850,DC
409,State,Joint,1000000,0.0875,DC
410,State,Joint,0,0.0895,DC
